sale_id,date,item_id,product_name,quantity,price,amount
1050,2026-02-26,502,HP Headphones 502,3,2771,8313
1051,2026-02-27,215,Samsung Tablets 215,1,52957,52957
1052,2026-02-27,413,Nikon Accessories 413,4,4016,16064
1053,2026-03-02,615,Boat Smart Watches 615,1,26787,26787
1054,2026-03-06,405,Canon Accessories 405,2,4551,9102
1055,2026-03-07,403,Sony Accessories 403,3,1992,5976
1056,2026-03-09,113,Nikon Mobiles 113,1,38785,38785
1057,2026-03-11,306,Xiaomi Laptops 306,4,45482,181928
1058,2026-03-11,514,Samsung Headphones 514,3,2524,7572
1059,2026-03-11,206,Apple Tablets 206,2,21352,42704
1060,2026-03-12,726,Canon Cameras 726,2,146574,293148
1061,2026-03-13,428,Noise Accessories 428,5,1137,5685
1062,2026-03-16,417,Dell Accessories 417,1,2435,2435
1063,2026-03-19,403,Sony Accessories 403,4,1992,7968
1064,2026-03-21,606,Apple Smart Watches 606,3,17358,52074
1065,2026-03-22,219,Samsung Tablets 219,3,55591,166773
1066,2026-03-22,118,Nikon Mobiles 118,4,74686,298744
1067,2026-03-24,207,Samsung Tablets 207,5,59129,295645
1068,2026-03-25,518,Dell Headphones 518,2,4545,9090
1069,2026-03-25,327,Dell Laptops 327,5,128184,640920
1070,2026-03-25,328,Samsung Laptops 328,1,72092,72092
1071,2026-03-26,708,Canon Cameras 708,2,197222,394444
1072,2026-03-28,720,Noise Cameras 720,3,127379,382137
1073,2026-03-29,628,Canon Smart Watches 628,2,5267,10534
1074,2026-03-30,406,Boat Accessories 406,4,4335,17340
1075,2026-03-31,119,Xiaomi Mobiles 119,2,65333,130666
1076,2026-03-31,308,Xiaomi Laptops 308,5,71029,355145
1077,2026-04-01,226,Noise Tablets 226,1,68549,68549
1078,2026-04-02,327,Dell Laptops 327,2,128184,256368
1079,2026-04-05,115,Lenovo Mobiles 115,3,37869,113607
1080,2026-04-05,216,Samsung Tablets 216,1,53284,53284
1081,2026-04-06,626,Samsung Smart Watches 626,2,12426,24852
1082,2026-04-06,115,Lenovo Mobiles 115,2,37869,75738
1083,2026-04-08,723,Apple Cameras 723,5,91551,457755
1084,2026-04-12,712,HP Cameras 712,5,35751,178755
1085,2026-04-13,415,Sony Accessories 415,5,4107,20535
1086,2026-04-13,613,Apple Smart Watches 613,4,12306,49224
1087,2026-04-14,103,Dell Mobiles 103,1,40495,40495
1088,2026-04-16,505,Nikon Headphones 505,3,8018,24054
1089,2026-04-16,504,HP Headphones 504,3,14931,44793
1090,2026-04-17,403,Sony Accessories 403,1,1992,1992
1091,2026-04-18,318,Nikon Laptops 318,4,130027,520108
1092,2026-04-21,616,HP Smart Watches 616,2,19996,39992
1093,2026-04-21,627,Canon Smart Watches 627,1,3213,3213
1094,2026-04-22,128,Dell Mobiles 128,5,50857,254285
1095,2026-04-24,319,Sony Laptops 319,4,49171,196684
1096,2026-04-25,215,Samsung Tablets 215,3,52957,158871
1097,2026-04-26,109,Noise Mobiles 109,2,39871,79742
1098,2026-04-27,208,Apple Tablets 208,4,31295,125180
1099,2026-04-27,119,Xiaomi Mobiles 119,5,65333,326665
1100,2026-04-29,227,Xiaomi Tablets 227,5,32332,161660
1101,2026-05-05,618,Nikon Smart Watches 618,5,15369,76845
1102,2026-05-05,317,Dell Laptops 317,5,73386,366930
1103,2026-05-06,509,HP Headphones 509,4,8385,33540
1104,2026-05-09,117,HP Mobiles 117,5,66155,330775
1105,2026-05-09,323,Nikon Laptops 323,2,149278,298556
1106,2026-05-11,104,Noise Mobiles 104,1,64987,64987
1107,2026-05-12,221,Dell Tablets 221,5,32407,162035
1108,2026-05-12,312,Dell Laptops 312,1,43101,43101
1109,2026-05-15,415,Sony Accessories 415,1,4107,4107
1110,2026-05-16,427,Samsung Accessories 427,5,1448,7240
1111,2026-05-16,117,HP Mobiles 117,3,66155,198465
1112,2026-05-17,716,Xiaomi Cameras 716,2,82637,165274
1113,2026-05-21,322,Noise Laptops 322,3,89695,269085
1114,2026-05-23,511,Lenovo Headphones 511,1,14071,14071
1115,2026-05-24,718,Xiaomi Cameras 718,3,89143,267429
1116,2026-05-24,207,Samsung Tablets 207,5,59129,295645
1117,2026-05-27,715,Boat Cameras 715,4,125646,502584
1118,2026-05-28,702,Noise Cameras 702,5,51054,255270
1119,2026-05-28,623,Boat Smart Watches 623,4,21002,84008
1120,2026-05-29,120,Canon Mobiles 120,4,79352,317408
1121,2026-05-31,123,Apple Mobiles 123,5,49117,245585
1122,2026-05-31,208,Apple Tablets 208,3,31295,93885
1123,2026-06-02,520,Nikon Headphones 520,1,3073,3073
1124,2026-06-02,714,Noise Cameras 714,1,65855,65855
1125,2026-06-03,619,Noise Smart Watches 619,3,29267,87801
1126,2026-06-04,701,Noise Cameras 701,2,70464,140928
1127,2026-06-04,307,Noise Laptops 307,4,72706,290824
1128,2026-06-07,721,Boat Cameras 721,5,88030,440150
1129,2026-06-07,122,Xiaomi Mobiles 122,1,69470,69470
1130,2026-06-08,516,Nikon Headphones 516,4,6419,25676
1131,2026-06-09,107,HP Mobiles 107,5,15695,78475
1132,2026-06-12,423,Canon Accessories 423,1,2877,2877
1133,2026-06-13,308,Xiaomi Laptops 308,4,71029,284116
1134,2026-06-14,727,Samsung Cameras 727,1,134369,134369
1135,2026-06-17,616,HP Smart Watches 616,1,19996,19996
1136,2026-06-17,716,Xiaomi Cameras 716,5,82637,413185
1137,2026-06-18,418,Sony Accessories 418,5,2953,14765
1138,2026-06-18,121,Noise Mobiles 121,3,44973,134919
1139,2026-06-18,325,Noise Laptops 325,4,68010,272040
1140,2026-06-18,116,Xiaomi Mobiles 116,4,44718,178872
1141,2026-06-19,323,Nikon Laptops 323,4,149278,597112
1142,2026-06-20,103,Dell Mobiles 103,4,40495,161980
1143,2026-06-20,615,Boat Smart Watches 615,3,26787,80361
1144,2026-06-21,219,Samsung Tablets 219,3,55591,166773
1145,2026-06-21,319,Sony Laptops 319,1,49171,49171
1146,2026-06-23,415,Sony Accessories 415,5,4107,20535
1147,2026-06-25,412,Dell Accessories 412,1,726,726
1148,2026-06-25,616,HP Smart Watches 616,4,19996,79984
1149,2026-06-26,318,Nikon Laptops 318,3,130027,390081
